Year,Endeavor Air,American,Alaska,JetBlue,Delta,ExpressJet,Frontier,Allegiant,Hawaiian,Envoy Air,Spirit,US Airways,SkyWest,United,Southwest,Mesa,Midwest
Pasco/Kennewick/Richland,0,0,0,0,0,0,0,15.35,0,0,0,0,10.98514851,0,0,0,0
Pellston,0,0,0,0,0,0,0,0,0,0,0,0,8.083333333,0,0,0,0
Pensacola,0,20.90163934,0,0,7.961206897,10.00952381,32.65,0,0,6.611650485,0,20.12162162,31.34615385,0,11.37614679,10.51807229,8.727272727
Peoria,0,0,0,0,0,13.65625,0,14.31818182,0,0,0,3.241935484,10.19379845,0,0,14.29508197,0
Petersburg,0,0,2.193548387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia,36.96323529,16.52056492,16.10752688,24.82608696,17.77696527,0,28.65539112,0,0,15.59375,14.76,22.15490673,16.67605634,20.03954802,21.01538462,8.74375,14.06391876
Phoenix,0,8.769166667,5.741525424,26.58064516,5.472222222,0,22.03846154,14.795,11.4516129,0,6.806451613,0,5.316939891,9.510703364,14.64526964,10.05037116,0
Pittsburgh,12.86328125,11.1838843,0,15.51674641,8.813813814,27.36666667,19.71428571,19.28947368,0,20.40883978,15.61827957,6.606837607,27.06206897,19.93333333,10.65521191,41.03053435,10.23066298
Plattsburgh,0,0,0,0,0,0,0,17.66666667,0,0,8.333333333,0,0,0,0,0,0
Pocatello,0,0,0,0,0,0,0,0,0,0,0,0,4.621848739,0,0,0,0
Ponce,0,0,0,18.93548387,0,0,0,0,0,0,0,0,0,0,0,0,0
Portland,8.677083333,11.28455285,0,11.7962963,12.44186047,0,0,0,0,12.7254902,0,23.82242991,7.965517241,10.04166667,18.34782609,0,12.4
Portland,0,12.43952802,5.371670702,17,3.866419295,0,15.43055556,0,5.35483871,0,12,0,5.093117409,8.264347826,11.26613546,0,0
Portsmouth,0,0,0,0,0,0,0,38.47368421,0,0,0,0,0,0,0,0,0
Providence,0,8.183673469,0,14.83695652,10.04201681,11.35555556,21.05673759,14.28,0,19.96666667,0,19.36781609,14.08988764,0,9.859934853,0,12.47272727
Provo,0,0,0,0,0,0,0,9.523809524,0,0,0,0,0,0,0,0,0
Pueblo,0,0,0,0,0,0,0,0,0,0,0,0,21.32098765,0,0,0,0
Punta Gorda,0,0,0,0,0,0,0,17.72568579,0,0,0,0,0,0,0,0,0
Quincy,0,0,0,0,0,0,0,0,0,0,0,0,18.50704225,0,0,0,0
Raleigh/Durham,15.52008929,14.83059418,9.161290323,16.73968254,8.945762712,18.18666667,23.65384615,34.58695652,0,20.57671958,0,20.52941176,54.41628959,19.22527473,14.21673387,6.868852459,15.17633411
Rapid City,0,0,0,0,0,0,0,31.80952381,0,0,0,11.25,26.62622951,0,0,13.27868852,0
Redding,0,0,0,0,0,0,0,0,0,0,0,0,43.46590909,0,0,0,0
Reno,0,9.369318182,0,14.11764706,5.825,0,36.12,25.74074074,0,0,0,0,14.49416342,8.991304348,10.98845599,6.752941176,0
Rhinelander,0,0,0,0,0,0,0,0,0,0,0,0,10.59016393,0,0,0,0
Richmond,15.96402878,11.02247191,0,19.45228216,13.90443686,18.8490099,0,44.70588235,0,18.20952381,4.290322581,9.558333333,19.73684211,7.258064516,9.697674419,8.612903226,13.80701754
Roanoke,0,0,0,0,2.548387097,5.266666667,0,27.42857143,0,10.58064516,0,0,19.02409639,0,0,0,0
Rochester,0,0,0,0,0,8.583333333,0,0,0,0,0,0,18.42261905,0,0,0,0
Rochester,7.958506224,0,0,15.21111111,8.570175439,6.763636364,0,25.16666667,0,15.43979058,0,9.97810219,0,7.885057471,8.666666667,0,22.78947368
Rock Springs,0,0,0,0,0,0,0,0,0,0,0,0,20.81818182,0,0,0,0
Rockford,0,0,0,0,0,0,0,24.71428571,0,0,0,0,0,0,0,0,0
Roswell,0,0,0,0,0,0,0,0,0,8.470588235,0,0,7.612903226,0,0,0,0
Sacramento,0,7.662011173,3.736263736,11.41843972,4.218274112,0,0,0,1.580645161,0,0,0,18.1332008,8.065693431,9.927180356,0,0
Saginaw/Bay City/Midland,6.681818182,0,0,0,0,0,0,0,0,0,0,0,18.44347826,0,0,0,0
Salina,0,0,0,0,0,0,0,0,0,0,0,0,19.525,0,0,0,0
Salt Lake City,0,12.81413613,3.756756757,16.95967742,8.973125504,139.75,11.97777778,0,0,0,0,0,7.829405163,15.21929825,11.30501089,4.61971831,1.4
San Angelo,0,0,0,0,0,0,0,0,0,9.491666667,0,0,0,0,0,0,0
San Antonio,7.433333333,12.80250784,14.03225806,0,8.875,0,18.82352941,77.29411765,0,10.37142857,0,6.807692308,9.711711712,9.251322751,13.94539007,0.1875,0
San Diego,0,12.50466045,6.52883263,13.73513514,5.297014925,0,18.56349206,18.06896552,7,0,25.35714286,0,8.573187415,12.21349558,13.47379778,0,0
San Francisco,0,14.59930009,12.52603306,19.80157171,14.78836834,0,36.55319149,0,25.83870968,0,0,0,20.88390501,15.36361897,20.99929726,0,0
San Jose,0,7.936416185,5.10430839,19.60773481,7.796052632,0,29.78899083,0,9.209677419,0,0,0,8.014492754,14.72222222,12.65851766,8.75,0
San Juan,0,11.2611465,0,19.98967742,4.121693122,0,16.20138889,56.07692308,0,0,6.277227723,0,0,10.19444444,9.046875,0,0
San Luis Obispo,0,0,0,0,0,0,0,0,0,0,0,0,31.24683544,0,0,8.559139785,0
Sanford,0,0,0,0,0,0,0,21.18261965,0,0,0,0,0,0,0,0,0
Santa Ana,0,8.078853047,3.93220339,0,18.15068493,0,13,0,0,0,0,0,19.24918033,21.28621291,11.06480784,0,0
Santa Barbara,0,15.5483871,0.935483871,0,0,0,0,0,0,0,0,0,28.55585831,15.79310345,0,5.680272109,0
Santa Fe,0,0,0,0,0,10.08695652,0,0,0,0,0,0,7.161290323,0,0,0,0
Santa Maria,0,0,0,0,0,0,0,9.615384615,0,0,0,0,0,0,0,0,0
Santa Rosa,0,0,0,0,0,0,0,0,0,0,0,0,18.92,0,0,7.806451613,0
Sarasota/Bradenton,0,0,0,19.78333333,6.082644628,0,0,10.19230769,0,0,0,11.70833333,0,7.2,0,0,4.275862069
Sault Ste. Marie,0,0,0,0,0,0,0,0,0,0,0,0,7.298245614,0,0,0,0
Savannah,12.65895954,21.77235772,0,25.69473684,6.526315789,27.28571429,31.3125,23.43137255,0,0,0,12.5451505,23.7,13.43103448,0,29.94594595,11
Scottsbluff,0,0,0,0,0,0,0,0,0,0,0,0,32.14814815,0,0,0,0
Scranton/Wilkes-Barre,0,0,0,0,5.580645161,31.1,0,0,0,0,0,7.555555556,5.875,0,0,0,0
Seattle,0,6.670422535,5.649580282,15.17073171,8.44459707,0,19.37894737,0,17.98387097,0,13.71764706,0,5.475757576,10.30103806,8.664448669,0,0
Shreveport,16.64912281,0,0,0,0,4.871428571,0,13.26666667,0,8.142857143,0,5.45,7.450819672,0,0,28,0
Sioux City,0,0,0,0,0,0,0,0,0,17.01136364,0,0,0,0,0,0,0
Sioux Falls,0,0,0,0,2,0,28,6.694915254,0,0,0,0,11.16746411,15.42307692,0,10.22580645,0
Sitka,0,0,6.326530612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bend,8.428571429,0,0,0,0.428571429,8.983606557,0,5.78,0,0,0,0,10.34438776,0,0,0,0
Spokane,0,3.836956522,5.108843537,0,9.304635762,0,32.82352941,0,0,0,0,0,5.576576577,21.92857143,8.06547619,0,0
Springfield,0,0,0,0,0,0,0,20.55555556,0,11.08474576,0,0,20.40243902,0,0,0,0
Springfield,12.04938272,0,0,0,0,15.43181818,0,12.3164557,0,13.4781491,0,0,21.02197802,0,0,0,0
St. Cloud,0,0,0,0,0,0,0,5.428571429,0,0,0,0,0,0,0,0,0
St. George,0,0,0,0,0,0,0,0,0,0,0,0,6.875457875,0,0,0,0
St. Louis,10.31609195,17.05069124,4.894736842,0,5.851674641,11.0952381,13.80645161,0,0,16.59036145,0,15.89285714,17.44493392,3.169811321,14.53719494,4.875,15.27758007
St. Petersburg,0,0,0,0,0,0,0,14.00966184,0,0,0,0,0,0,0,0,0
State College,0,0,0,0,0,0,0,0,0,0,0,0,10.77272727,0,0,0,0
Staunton,0,0,0,0,0,0,0,0,0,0,0,0,18.79487179,0,0,0,0
Stillwater,0,0,0,0,0,0,0,0,0,7.081967213,0,0,0,0,0,0,0
Stockton,0,0,0,0,0,0,0,23.82089552,0,0,0,0,0,0,0,0,0
Sun Valley/Hailey/Ketchum,0,0,0,0,0,0,0,0,0,0,0,0,13.35483871,0,0,0,0
Syracuse,17.05752212,8.824561404,0,12.71544715,4.4,34.96,0,21.77272727,0,20.29078014,0,1.465909091,13.44736842,0,0,35.38235294,6.965714286
Tallahassee,5.517647059,0,0,0,10.27586207,0,0,0,0,12.0483871,0,14.13605442,0,0,0,15.44,1.142857143
Tampa,0,11.96619718,12.12903226,22.17444717,9.434951456,0,31.18181818,0,0,0,9.902821317,0,0,12.43307087,15.74960568,0,131
Texarkana,0,0,0,0,0,0,0,0,0,18.22321429,0,0,0,0,0,0,0
Toledo,0,0,0,0,0,0,0,31.53846154,0,21.6,0,7.131147541,9.92,0,0,0,0
Traverse City,9.555555556,0,0,0,1.290322581,0,0,0,0,29.73170732,0,0,14.12621359,0,0,0,0
Trenton,0,0,0,0,0,0,34.90376569,0,0,0,0,0,0,0,0,0,0
Tucson,0,11.61168385,0.8125,0,13.65217391,4.222222222,0,0,0,0,0,0,15.2852349,5.161290323,11.89489489,10.20095694,0
Tulsa,0,16.46899225,0,0,11.8358209,4.834951456,42.58333333,56.975,0,14.65625,0,5.903225806,24.24782609,0,15.28871391,6.644736842,15.74509804
Twin Falls,0,0,0,0,0,0,0,0,0,0,0,0,2.194690265,0,0,0,0
Tyler,0,0,0,0,0,0,0,0,0,8.756521739,0,0,0,0,0,0,0
Valdosta,2.655172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,0,23.16393443,0,0,11.58737864,9.255555556,0,10.8559322,0,4.285714286,0,17.40650407,0,0,0,20.26506024,4.076923077
Waco,0,0,0,0,0,0,0,0,0,6.101449275,0,0,0,0,0,0,0
Washington,24.48706897,16.52657219,12.17177914,19.91643192,15.36435644,20.25412541,31.42723005,0,0,15.97345133,0,20.71036415,19.64102564,18.2593328,19.08614748,17.34600197,12.92260274
Waterloo,0,0,0,0,0,0,0,0,0,7.946428571,0,0,0,0,0,0,0
West Palm Beach/Palm Beach,48.4,9.802056555,0,21.02340094,10.84817814,0,55.8125,0,0,27.70833333,0,0,0,23.80081301,13.68691589,0,4.833333333
West Yellowstone,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0
White Plains,12.60714286,0,0,20.37116564,20.5483871,22.5,0,0,0,0,0,22.11612903,25.19480519,0,0,0,0
Wichita Falls,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0
Wichita,0,31.75409836,0,0,2.505494505,12.34677419,0,14.72727273,0,0,0,0,21.61751152,20.15384615,9.225,13.03030303,14.09677419
Williston,0,0,0,0,0,0,0,0,0,0,0,0,8.788617886,0,0,0,0
Wilmington,9.32,6.348314607,0,0,19.09375,0,0,0,0,10.91860465,0,16.3853211,12.64864865,0,0,0,4.921875
Worcester,0,0,0,21.0375,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrangell,0,0,2.177419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakutat,0,0,7.048387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuma,0,0,0,0,0,0,0,0,0,0,0,0,2.516666667,0,0,0,0
